108,서울,2020-06-16 9:00,22.4,69
108,서울,2020-06-16 10:00,23.4,63
108,서울,2020-06-16 11:00,25.4,55
108,서울,2020-06-16 12:00,27.2,50
108,서울,2020-06-16 13:00,28.5,47
108,서울,2020-06-16 14:00,29.5,43
108,서울,2020-06-16 15:00,30.4,39
108,서울,2020-06-16 16:00,30.4,39
108,서울,2020-06-16 17:00,29.6,49
108,서울,2020-06-16 18:00,28,53
108,서울,2020-06-16 19:00,26.8,56
108,서울,2020-06-16 20:00,25.9,57
108,서울,2020-06-16 21:00,24.9,63
108,서울,2020-06-16 22:00,23.9,67
108,서울,2020-06-16 23:00,22.8,68
108,서울,2020-06-17 0:00,22.2,72
